"UserID","Question","Task","Type","Technique","Seconds","Score","Error","QuestionText","ResponseText","ResponseCode"
"R_25HoIjC5FuhBsAy",3,1,"Timed","Circle Packing",28.048,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1I4V6AZtLmMHeoj",3,1,"Timed","Circle Packing",15.31,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_21BPikUTu4ILdhw",3,1,"Timed","Circle Packing",16.164,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_6Kdbzns7MUtmiih",3,1,"Timed","Circle Packing",28.274,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_3MfGbN6MEmP0Enk",3,1,"Timed","Cluster Heatmap",14.478,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1QbFjRd6H95JNra",3,1,"Timed","Cluster Heatmap",12.94,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2ardaoGTgCIIatC",3,1,"Timed","Cluster Heatmap",10.739,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_vOAxPP4vwwudSa5",3,1,"Timed","Cluster Heatmap",14.533,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_26nF3kaKDe73Rn0",3,1,"Timed","Cluster Heatmap",41.205,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_PS2OGYI40Oo5WCd",3,1,"Timed","Cluster Heatmap",8.627,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_3Jef3qcZrmKWTZ8",3,1,"Timed","Cluster Heatmap",13.975,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2bTA6ACSb1LCYl6",3,1,"Timed","Cluster Heatmap",11.032,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2wiziPOOHCi0PWG",3,1,"Timed","Cluster Heatmap",23.509,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_veEyxBhLtECjn9L",3,1,"Timed","Cluster Heatmap",9.511,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2BgMM7XWnMAShyN",3,1,"Timed","Cluster Heatmap",16.844,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2DP33a11PkSPHZ7",3,1,"Timed","Cluster Heatmap",15.24,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_2vcyVB6pfayAvdc",3,1,"Timed","Cluster Heatmap",42.801,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_3oZ0n8fzhC8k48F",3,1,"Timed","Cluster Heatmap",17.854,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2AQjjFWs50VdKHs",3,1,"Timed","Cluster Heatmap",10.592,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_2BkRNDLqoxiaFUt",3,1,"Timed","Cluster Heatmap",17.531,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_31RzRuyeNllDzny",3,1,"Timed","Cluster Heatmap",13.35,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2wjCYTiFfvLImN4",3,1,"Timed","Cluster Heatmap",21.229,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_e8oohE1nFNEFmBL",3,1,"Timed","Cluster Heatmap",17.055,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_ODJJfKMZrYxVeVP",3,1,"Timed","Cluster Heatmap",17.833,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1mDHo9RsMOOBEP4",3,1,"Timed","Cluster Heatmap",6.828,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_08l6irxVFTV34o9",3,1,"Timed","Cluster Heatmap",18.91,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_vdgH1XYLyq42dJT",3,1,"Timed","Cluster Heatmap",9.194,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2cvIrspY1QTBEMs",3,1,"Timed","Cluster Heatmap",8.081,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3ps7omcOqeLSz1d",3,1,"Timed","Cluster Heatmap",13.792,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2vZWlc0fU8wzEv3",3,1,"Timed","Cluster Heatmap",16.747,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_BV2qAJ3bn7CSTKN",3,1,"Timed","Cluster Heatmap",12.16,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2zvfQLv3r9lwJrx",3,1,"Timed","Cluster Heatmap",33.496,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2rkJIDVtgZM3rm5",3,1,"Timed","Cluster Heatmap",38.576,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_puhEy9vov8hZ35n",3,1,"Timed","Cluster Heatmap",5.832,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_1obDlEjuARLkOpU",3,1,"Timed","Cluster Heatmap",33.881,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_3n7cZMTyFaPmNqd",3,1,"Timed","Cluster Heatmap",25.119,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_21bysIEBIwTwZ83",3,1,"Timed","Cluster Heatmap",12.466,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2rwKPAvlzgDicMW",3,1,"Timed","Force Directed Tree",14.644,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3iR1wvh2btgDx7J",3,1,"Timed","Force Directed Tree",26.797,0,NA,"Which of the highlighted elements has the highest value?","Unsure",4
"R_5jsiRPWsxpTmS6l",3,1,"Timed","Force Directed Tree",7.775,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_Qcz563ZDciRh09b",3,1,"Timed","Force Directed Tree",50.269,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_Rb1jQ8zWn30hRYd",3,1,"Timed","Force Directed Tree",5.303,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_VVboJ3CbJYhkhq1",3,1,"Timed","Force Directed Tree",9.071,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_2xLYX7QMXh6YYwN",3,1,"Timed","Force Directed Tree",14.426,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2OTNvB3sZZRwCus",3,1,"Timed","Force Directed Tree",11.666,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_xfvh8oC2Ead2P85",3,1,"Timed","Force Directed Tree",19.778,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2QPtiqz6lvpshEC",3,1,"Timed","Force Directed Tree",16.454,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_3qHD0hrlWxtB75e",3,1,"Timed","Force Directed Tree",6.27,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2OHoSra2rZOrDw3",3,1,"Timed","Force Directed Tree",21.646,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2rSMGWOIWv7MBWY",3,1,"Timed","Force Directed Tree",17.45,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_23gmqr83e4LbSkw",3,1,"Timed","Force Directed Tree",16.969,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_0ML0Bh2bADeSKE9",3,1,"Timed","Force Directed Tree",11.306,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3Gfxp6VV9NqcDaW",3,1,"Timed","Force Directed Tree",18.517,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_0MUR73qODNZ8ITf",3,1,"Timed","Force Directed Tree",7.041,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_YVo61hebwYUGqI1",3,1,"Timed","Force Directed Tree",7.099,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2e9EnzhNtkYiBeB",3,1,"Timed","Force Directed Tree",17.346,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_2q4o3EXZAPF9zPm",3,1,"Timed","Force Directed Tree",30.743,0,NA,"Which of the highlighted elements has the highest value?","Unsure",4
"R_2V90gRcwgWnnF1X",3,1,"Timed","Force Directed Tree",12.863,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2SoZGf3em2IcO5w",3,1,"Timed","Force Directed Tree",11.773,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2b3nN9IkGW5DltK",3,1,"Timed","Force Directed Tree",9.621,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3yh8oLiMHCYQV5r",3,1,"Timed","Force Directed Tree",13.622,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_YVwlgJv5Y1Qhsjv",3,1,"Timed","Force Directed Tree",20.784,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2R3XWaewaK5SH2l",3,1,"Timed","Force Directed Tree",24.185,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2wT72bYCj6NyIRM",3,1,"Timed","Force Directed Tree",8.865,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1QA7Q71qY2eGEjA",3,1,"Timed","Force Directed Tree",32.668,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_QhNvd8Z3zwf1Ry9",3,1,"Timed","Force Directed Tree",25.857,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2tnHUer6uTXYNIs",3,1,"Timed","Force Directed Tree",22.201,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2yjAiOuU2PV6R07",3,1,"Timed","Force Directed Tree",11.157,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1dK75THlZFY9mgI",3,1,"Timed","Force Directed Tree",22.348,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_3fAG1WVYJ50wRKm",3,1,"Timed","Force Directed Tree",8.337,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1CevAH5lquON8tb",3,1,"Timed","Gapmap",11.467,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_3gLXI2wn1UxerDl",3,1,"Timed","Gapmap",28.029,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1H8FOZMMrAj4OSe",3,1,"Timed","Gapmap",6.727,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_w03P2LSlmmuvs6R",3,1,"Timed","Gapmap",5.15,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_1gHCDJyO9ar3fwq",3,1,"Timed","Gapmap",7.733,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_eVPDLYhv1AHqNKV",3,1,"Timed","Gapmap",50.419,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_d05Jtvu04FKmS5z",3,1,"Timed","Gapmap",11.871,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_2S2Y7Gyy9NLcdlU",3,1,"Timed","Gapmap",23.932,0,NA,"Which of the highlighted elements has the highest value?","Unsure",4
"R_25R7SjgKusyJhCY",3,1,"Timed","Gapmap",12.009,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_VOp7RWnxRyBoVdD",3,1,"Timed","Gapmap",8.102,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_piopwCHEQVH9Ly1",3,1,"Timed","Gapmap",8.633,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3lQZWHd65TquSOd",3,1,"Timed","Gapmap",8.179,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2ri1QGuv2kdkEWN",3,1,"Timed","Gapmap",14.48,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_2OVF9IJdtU66iky",3,1,"Timed","Gapmap",42.251,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_ub3pUH3Kp7DntId",3,1,"Timed","Gapmap",42.086,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_eKb1c76zPhAc98J",3,1,"Timed","Gapmap",9.974,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1hEXYTseBaENG1z",3,1,"Timed","Gapmap",13.625,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_27y5zx5w507SG1a",3,1,"Timed","Gapmap",9.083,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_3LhW9zleNB3VQL0",3,1,"Timed","Gapmap",29.439,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_3eC2JsI715rgVcB",3,1,"Timed","Gapmap",4.993,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1jfhk6rkGNFYKRw",3,1,"Timed","Gapmap",15.241,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1ITmUf4af8G1adx",3,1,"Timed","Gapmap",10.556,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_qVgLZGygGsmY7rr",3,1,"Timed","Gapmap",15.35,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3GsajCYxgInQlmK",3,1,"Timed","Gapmap",8.62,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1Q57vpUDue01e2l",3,1,"Timed","Gapmap",8.306,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3hFK1xA2mVOhWxP",3,1,"Timed","Gapmap",9.506,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_0NBQOHlMsU8X6zr",3,1,"Timed","Gapmap",13.335,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_3knYCN4G1GVbrgp",3,1,"Timed","Gapmap",9.134,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2PvU3ZwHDTibaaA",3,1,"Timed","Gapmap",18.259,0,NA,"Which of the highlighted elements has the highest value?","Unsure",4
"R_Dw71W9VvyTHKzq9",3,1,"Timed","Gapmap",34.371,0,NA,"Which of the highlighted elements has the highest value?","Unsure",4
"R_2eb7q82bS1E9NS0",3,1,"Timed","Gapmap",7.41,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_1FsnWrnYgqiHhM0",3,1,"Timed","Gapmap",64.525,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1qVBoKVMPCXN6Lc",3,1,"Timed","Radial Dendrogram",9.445,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1DYAZDkRwcWCsv2",3,1,"Timed","Radial Dendrogram",12.653,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3iwJs3EarUKaRER",3,1,"Timed","Radial Dendrogram",17.842,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2UYQn4taqYQ5Kp2",3,1,"Timed","Radial Dendrogram",31.625,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_77EKzKiFYZMQtax",3,1,"Timed","Radial Dendrogram",10.666,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1M4CUWjSdhI2OnW",3,1,"Timed","Radial Dendrogram",9.999,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_9TUZ1w5OcbLzgeB",3,1,"Timed","Radial Dendrogram",10.195,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1nTK5CZqBSb9QaT",3,1,"Timed","Radial Dendrogram",20.028,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3qHWKNwKO5ktOiw",3,1,"Timed","Radial Dendrogram",24.661,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2f3Wr0soivvn4a7",3,1,"Timed","Radial Dendrogram",9.229,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_10CW2Wrw3E8Sw6p",3,1,"Timed","Radial Dendrogram",8.103,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_31nEWYwOrYV02ta",3,1,"Timed","Radial Dendrogram",27.323,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_3fGywcXXxqnnhbt",3,1,"Timed","Radial Dendrogram",18.728,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1mVnnjP1DSUQGLz",3,1,"Timed","Radial Dendrogram",8.4,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_3etdH2ho3ueZh1Q",3,1,"Timed","Radial Dendrogram",34.321,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_3jT2q0aUNyrVW5Q",3,1,"Timed","Radial Dendrogram",14.047,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1Nh3ExR8KJEQBuu",3,1,"Timed","Radial Dendrogram",19.056,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1OOyuWMzuNnwrwx",3,1,"Timed","Radial Dendrogram",36.062,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_Bunrbk8Ng7TrVWp",3,1,"Timed","Radial Dendrogram",18.147,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2U0l9l5Xc2fqdAo",3,1,"Timed","Radial Dendrogram",12.749,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_2eVvypfWgihQeJT",3,1,"Timed","Radial Dendrogram",9.318,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_2X5uVTO5uMtDt1G",3,1,"Timed","Radial Dendrogram",19.671,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_3Pe2ldVI1scyRFF",3,1,"Timed","Radial Dendrogram",26.327,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_11hjtF9sTllfHpK",3,1,"Timed","Radial Dendrogram",28.922,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3PUcn0vWqw7JLpi",3,1,"Timed","Radial Dendrogram",9.591,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_3snw8WK4QHwBtz6",3,1,"Timed","Radial Dendrogram",14.53,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1IctBejJ1Qa9WA2",3,1,"Timed","Radial Dendrogram",33.827,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2CUKxvYeyPQHRd7",3,1,"Timed","Radial Dendrogram",12.618,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_11WStaqFMXjbb5a",3,1,"Timed","Radial Dendrogram",5.502,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_2AQYPL0JXLTnX5h",3,1,"Timed","Radial Dendrogram",10.341,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_9LvI7NyafsgMZ6p",3,1,"Timed","Radial Dendrogram",21.095,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1DHdE8dsTg4dwex",3,1,"Timed","Radial Dendrogram",18.725,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_9ABWu2Lxs7CgmL7",3,1,"Timed","Sunburst",23.206,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_1j9g3yCnSwEgdRo",3,1,"Timed","Sunburst",5.414,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_3OrnCDZVGN5pl5f",3,1,"Timed","Sunburst",19.708,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_2YhT0jIM0ovyPIN",3,1,"Timed","Sunburst",11.596,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1JJkXZW5sWfknUp",3,1,"Timed","Sunburst",57.516,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_eVTRVkkLKrw2kdX",3,1,"Timed","Sunburst",38.594,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1OH2LftiMSiLH2P",3,1,"Timed","Sunburst",14.447,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2xVMR92Bv0iK6fc",3,1,"Timed","Sunburst",13.356,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_5d3BUZuKfyQaVsB",3,1,"Timed","Sunburst",17.212,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_21b5ZkM961ZDOw9",3,1,"Timed","Sunburst",12.768,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2cclDp2fTqro7df",3,1,"Timed","Sunburst",14.641,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_wN1ePDJXDNdACAx",3,1,"Timed","Sunburst",9.953,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_3JaaiJSSa4Dm0NF",3,1,"Timed","Sunburst",27.872,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1NgMbUHC55zZBoM",3,1,"Timed","Sunburst",18.823,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_0wyw9DENUqY23SN",3,1,"Timed","Sunburst",10.539,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_9v5e8k0qqbfqEqF",3,1,"Timed","Sunburst",30.51,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_3GBOUtx4kfb2j70",3,1,"Timed","Sunburst",38.199,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_4OcLqYosLvs6qPf",3,1,"Timed","Sunburst",16.293,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_b8COfAXS1BteOqJ",3,1,"Timed","Sunburst",25.377,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1obf4uJ1HYmmIYm",3,1,"Timed","Sunburst",14.173,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_ZjXdhq0TAtmnTsl",3,1,"Timed","Sunburst",13.367,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_1gcnwl0ZXdldp8B",3,1,"Timed","Sunburst",17.005,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_2v9cmfAMYuCFfDI",3,1,"Timed","Sunburst",16.722,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1prFk7Uq0tK4nbc",3,1,"Timed","Sunburst",5.624,1,0,"Which of the highlighted elements has the highest value?","(4, 1)",2
"R_2fk6fWmvY16aqTx",3,1,"Timed","Sunburst",10.439,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_w5aqNT5HTZnJGsF",3,1,"Timed","Sunburst",12.315,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_YSTJl0MPsU8paAF",3,1,"Timed","Sunburst",10.863,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1dN3OhtzAKl45Oq",3,1,"Timed","Sunburst",28.555,0,5.265,"Which of the highlighted elements has the highest value?","(1, 5)",1
"R_3M3S455OkbsJGf9",3,1,"Timed","Sunburst",8.643,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_eP9Yq82NgWD0CoZ",3,1,"Timed","Sunburst",5.822,0,3.746,"Which of the highlighted elements has the highest value?","(5, 13)",3
"R_1LnvKNaUcIcj04L",3,1,"Timed","Sunburst",46.929,0,NA,"Which of the highlighted elements has the highest value?","Unsure",4
"R_3fwywPtw7JbnsgJ",3,1,"Timed","Sunburst",23.406,0,NA,"Which of the highlighted elements has the highest value?","Unsure",4
"R_25tMlkx0LAQHnqo",4,1,"Timed","Circle Packing",10.118,1,NA,"Is the highlighted cluster (including leaves) mostly positive or mostly negative?","Mostly Positive",1
"R_vq71oQyy45dYJy1",4,1,"Timed","Circle Packing",8.499,1,NA,"Is the highlighted cluster (including leaves) mostly positive or mostly negative?","Mostly Positive",1
